coverage: t=2430s known=392.0m2 free=375.8m2 occ=16.2m2 (401x401)
coverage: t=2460s known=392.0m2 free=375.8m2 occ=16.2m2 (401x401)
coverage: t=2490s known=392.0m2 free=375.8m2 occ=16.2m2 (401x401)
coverage: t=2520s known=392.0m2 free=375.8m2 occ=16.2m2 (401x401)
coverage: t=2550s known=392.1m2 free=375.8m2 occ=16.3m2 (401x401)
coverage: t=2580s known=392.1m2 free=375.8m2 occ=16.3m2 (401x401)
coverage: t=2610s known=392.1m2 free=375.8m2 occ=16.3m2 (401x401)
coverage: t=2640s known=392.1m2 free=375.8m2 occ=16.3m2 (401x401)
coverage: t=2670s known=392.1m2 free=375.8m2 occ=16.3m2 (401x401)
coverage: t=2700s known=392.2m2 free=375.8m2 occ=16.3m2 (401x401)
coverage: t=2730s known=392.2m2 free=375.9m2 occ=16.3m2 (401x401)
coverage: t=2760s known=392.2m2 free=375.8m2 occ=16.4m2 (401x401)
coverage: t=2790s known=392.2m2 free=375.8m2 occ=16.4m2 (401x401)
coverage: t=2820s known=392.2m2 free=375.8m2 occ=16.4m2 (401x401)
coverage: t=2850s known=392.2m2 free=375.8m2 occ=16.4m2 (401x401)
coverage: t=2880s known=392.3m2 free=375.8m2 occ=16.4m2 (401x401)
coverage: t=2910s known=392.3m2 free=375.8m2 occ=16.5m2 (401x401)
coverage: t=2940s known=392.3m2 free=375.8m2 occ=16.5m2 (401x401)
coverage: t=2970s known=392.3m2 free=375.8m2 occ=16.5m2 (401x401)
coverage: t=3000s known=392.3m2 free=375.8m2 occ=16.5m2 (401x401)
coverage: t=3030s known=392.0m2 free=373.7m2 occ=18.2m2 (401x401)
coverage: t=3060s known=392.0m2 free=373.7m2 occ=18.2m2 (401x401)
coverage: t=3090s known=392.0m2 free=373.7m2 occ=18.2m2 (401x401)
coverage: t=3120s known=392.0m2 free=373.7m2 occ=18.3m2 (401x401)
coverage: t=3150s known=392.0m2 free=374.3m2 occ=17.8m2 (401x401)
coverage: t=3180s known=392.0m2 free=374.3m2 occ=17.8m2 (401x401)
coverage: t=3210s known=392.1m2 free=374.5m2 occ=17.5m2 (401x401)
coverage: t=3240s known=392.0m2 free=374.8m2 occ=17.2m2 (401x401)
coverage: t=3270s known=392.1m2 free=374.8m2 occ=17.4m2 (401x401)
coverage: t=3300s known=392.1m2 free=374.8m2 occ=17.4m2 (401x401)
coverage: t=3330s known=392.1m2 free=374.8m2 occ=17.4m2 (401x401)
coverage: t=3360s known=392.2m2 free=374.8m2 occ=17.4m2 (401x401)
coverage: t=3390s known=392.5m2 free=374.8m2 occ=17.7m2 (401x401)
coverage: t=3420s known=392.6m2 free=374.8m2 occ=17.7m2 (401x401)
coverage: t=3450s known=392.6m2 free=374.8m2 occ=17.8m2 (401x401)
coverage: t=3480s known=392.6m2 free=374.8m2 occ=17.8m2 (401x401)
coverage: t=3510s known=392.6m2 free=374.8m2 occ=17.8m2 (401x401)
coverage: t=3540s known=392.7m2 free=374.8m2 occ=17.9m2 (401x401)
coverage: t=3570s known=392.7m2 free=374.8m2 occ=17.9m2 (401x401)
coverage: t=3600s known=392.7m2 free=374.8m2 occ=17.9m2 (401x401)
coverage: t=3630s known=392.7m2 free=374.8m2 occ=17.9m2 (401x401)
coverage: t=3660s known=392.7m2 free=374.8m2 occ=17.9m2 (401x401)
coverage: t=3690s known=392.7m2 free=374.8m2 occ=17.9m2 (401x401)
coverage: t=3720s known=392.7m2 free=374.8m2 occ=17.9m2 (401x401)
coverage: t=3750s known=392.8m2 free=374.8m2 occ=17.9m2 (401x401)
coverage: t=3780s known=392.8m2 free=374.8m2 occ=17.9m2 (401x401)
coverage: t=3810s known=392.8m2 free=374.8m2 occ=17.9m2 (401x401)
coverage: t=3840s known=392.8m2 free=374.8m2 occ=17.9m2 (401x401)
coverage: t=3870s known=392.8m2 free=374.8m2 occ=17.9m2 (401x401)
coverage: t=3900s known=392.8m2 free=374.8m2 occ=17.9m2 (401x401)
coverage: t=3930s known=392.8m2 free=374.8m2 occ=17.9m2 (401x401)
coverage: t=3960s known=392.8m2 free=374.8m2 occ=17.9m2 (401x401)
coverage: t=3990s known=392.8m2 free=374.9m2 occ=17.9m2 (401x401)
coverage: t=4020s known=392.8m2 free=374.8m2 occ=17.9m2 (401x401)
coverage: t=4050s known=392.8m2 free=374.8m2 occ=18.0m2 (401x401)
coverage: t=4080s known=392.8m2 free=374.9m2 occ=18.0m2 (401x401)
coverage: t=4110s known=392.9m2 free=374.8m2 occ=18.0m2 (401x401)
coverage: t=4140s known=392.9m2 free=374.9m2 occ=18.0m2 (401x401)
coverage: t=4170s known=392.9m2 free=374.8m2 occ=18.0m2 (401x401)
coverage: t=4200s known=392.9m2 free=374.8m2 occ=18.0m2 (401x401)
