coverage: t=2430s known=371.5m2 free=352.4m2 occ=19.0m2 (480x319)
coverage: t=2460s known=371.5m2 free=352.4m2 occ=19.0m2 (480x319)
coverage: t=2490s known=371.3m2 free=352.1m2 occ=19.3m2 (480x319)
coverage: t=2520s known=371.7m2 free=352.5m2 occ=19.3m2 (480x320)
coverage: t=2550s known=371.5m2 free=352.6m2 occ=18.9m2 (480x319)
coverage: t=2580s known=371.6m2 free=352.7m2 occ=18.9m2 (480x319)
coverage: t=2610s known=371.6m2 free=352.7m2 occ=18.9m2 (480x319)
coverage: t=2640s known=371.6m2 free=352.7m2 occ=18.9m2 (480x319)
coverage: t=2670s known=371.6m2 free=352.7m2 occ=19.0m2 (480x319)
coverage: t=2700s known=371.7m2 free=352.7m2 occ=19.0m2 (480x319)
coverage: t=2730s known=371.7m2 free=352.7m2 occ=19.0m2 (480x319)
coverage: t=2760s known=371.7m2 free=352.7m2 occ=19.0m2 (480x319)
coverage: t=2790s known=371.7m2 free=352.7m2 occ=19.1m2 (480x319)
coverage: t=2820s known=371.7m2 free=352.7m2 occ=19.1m2 (480x319)
coverage: t=2850s known=371.7m2 free=352.7m2 occ=19.1m2 (480x319)
coverage: t=2880s known=371.8m2 free=352.6m2 occ=19.1m2 (480x319)
coverage: t=2910s known=371.8m2 free=352.6m2 occ=19.1m2 (480x319)
coverage: t=2940s known=371.8m2 free=352.6m2 occ=19.1m2 (480x319)
coverage: t=2970s known=371.8m2 free=352.6m2 occ=19.1m2 (480x319)
coverage: t=3000s known=371.8m2 free=352.7m2 occ=19.1m2 (480x319)
coverage: t=3030s known=371.8m2 free=352.7m2 occ=19.1m2 (480x319)
coverage: t=3060s known=371.8m2 free=352.7m2 occ=19.2m2 (480x319)
coverage: t=3090s known=371.8m2 free=352.7m2 occ=19.2m2 (480x319)
coverage: t=3120s known=371.8m2 free=352.7m2 occ=19.2m2 (480x319)
coverage: t=3150s known=371.8m2 free=352.7m2 occ=19.2m2 (480x319)
coverage: t=3180s known=371.8m2 free=352.6m2 occ=19.2m2 (480x319)
coverage: t=3210s known=371.8m2 free=352.7m2 occ=19.2m2 (480x319)
coverage: t=3240s known=371.8m2 free=352.6m2 occ=19.2m2 (480x319)
coverage: t=3270s known=371.9m2 free=352.6m2 occ=19.2m2 (480x319)
coverage: t=3300s known=371.9m2 free=352.6m2 occ=19.3m2 (480x319)
coverage: t=3330s known=371.9m2 free=352.6m2 occ=19.3m2 (480x319)
coverage: t=3360s known=371.9m2 free=352.6m2 occ=19.3m2 (480x319)
coverage: t=3390s known=371.9m2 free=352.6m2 occ=19.3m2 (480x319)
coverage: t=3420s known=371.9m2 free=352.6m2 occ=19.3m2 (480x319)
coverage: t=3450s known=371.9m2 free=352.6m2 occ=19.3m2 (480x319)
coverage: t=3480s known=371.9m2 free=352.6m2 occ=19.3m2 (480x319)
coverage: t=3510s known=371.9m2 free=352.6m2 occ=19.3m2 (480x319)
coverage: t=3540s known=371.9m2 free=352.6m2 occ=19.3m2 (480x319)
coverage: t=3570s known=372.0m2 free=352.6m2 occ=19.4m2 (480x319)
coverage: t=3600s known=372.0m2 free=352.6m2 occ=19.4m2 (480x319)
coverage: t=3630s known=372.0m2 free=352.6m2 occ=19.4m2 (480x319)
coverage: t=3660s known=372.0m2 free=352.7m2 occ=19.3m2 (480x319)
coverage: t=3690s known=372.0m2 free=352.7m2 occ=19.3m2 (480x319)
coverage: t=3720s known=372.1m2 free=352.6m2 occ=19.5m2 (480x319)
coverage: t=3750s known=372.1m2 free=352.6m2 occ=19.5m2 (480x319)
coverage: t=3780s known=372.1m2 free=352.6m2 occ=19.5m2 (480x319)
coverage: t=3810s known=372.1m2 free=352.6m2 occ=19.5m2 (480x319)
coverage: t=3840s known=372.1m2 free=352.6m2 occ=19.5m2 (480x319)
coverage: t=3870s known=372.1m2 free=352.6m2 occ=19.5m2 (480x319)
coverage: t=3900s known=372.1m2 free=352.6m2 occ=19.5m2 (480x319)
coverage: t=3930s known=372.1m2 free=352.6m2 occ=19.5m2 (480x319)
coverage: t=3960s known=372.1m2 free=352.6m2 occ=19.5m2 (480x319)
coverage: t=3990s known=372.1m2 free=352.6m2 occ=19.5m2 (480x319)
coverage: t=4020s known=372.1m2 free=352.6m2 occ=19.5m2 (480x319)
coverage: t=4050s known=372.1m2 free=352.6m2 occ=19.5m2 (480x319)
coverage: t=4080s known=372.1m2 free=352.6m2 occ=19.6m2 (480x319)
coverage: t=4110s known=372.1m2 free=352.6m2 occ=19.6m2 (480x319)
coverage: t=4140s known=372.1m2 free=352.6m2 occ=19.6m2 (480x319)
coverage: t=4170s known=372.1m2 free=352.6m2 occ=19.6m2 (480x319)
coverage: t=4200s known=372.1m2 free=352.6m2 occ=19.6m2 (480x319)
coverage: t=4230s known=372.2m2 free=352.6m2 occ=19.6m2 (480x319)
coverage: t=4260s known=372.2m2 free=352.6m2 occ=19.6m2 (480x319)
coverage: t=4290s known=372.2m2 free=352.6m2 occ=19.6m2 (480x319)
coverage: t=4320s known=372.2m2 free=352.6m2 occ=19.6m2 (480x319)
coverage: t=4350s known=372.2m2 free=352.6m2 occ=19.6m2 (480x319)
coverage: t=4380s known=372.2m2 free=352.6m2 occ=19.6m2 (480x319)
coverage: t=4410s known=372.2m2 free=352.6m2 occ=19.6m2 (480x319)
coverage: t=4440s known=372.2m2 free=352.6m2 occ=19.6m2 (480x319)
coverage: t=4470s known=372.2m2 free=352.6m2 occ=19.6m2 (480x319)
coverage: t=4500s known=372.2m2 free=352.5m2 occ=19.6m2 (480x319)
coverage: t=4530s known=372.2m2 free=352.5m2 occ=19.7m2 (480x319)
coverage: t=4560s known=372.2m2 free=352.5m2 occ=19.7m2 (480x319)
coverage: t=4590s known=372.2m2 free=352.5m2 occ=19.7m2 (480x319)
coverage: t=4620s known=372.2m2 free=352.5m2 occ=19.7m2 (480x319)
coverage: t=4650s known=372.2m2 free=352.5m2 occ=19.7m2 (480x319)
coverage: t=4680s known=372.2m2 free=352.5m2 occ=19.7m2 (480x319)
coverage: t=4710s known=372.2m2 free=352.5m2 occ=19.7m2 (480x319)
coverage: t=4740s known=372.2m2 free=352.5m2 occ=19.7m2 (480x319)
coverage: t=4770s known=372.2m2 free=352.5m2 occ=19.7m2 (480x319)
coverage: t=4800s known=372.1m2 free=353.0m2 occ=19.1m2 (480x319)
coverage: t=4830s known=372.1m2 free=353.0m2 occ=19.1m2 (480x319)
coverage: t=4860s known=372.1m2 free=353.0m2 occ=19.1m2 (480x319)
coverage: t=4890s known=372.1m2 free=353.0m2 occ=19.1m2 (480x319)
coverage: t=4920s known=372.2m2 free=353.0m2 occ=19.1m2 (480x319)
coverage: t=4950s known=372.7m2 free=353.0m2 occ=19.7m2 (479x319)
coverage: t=4980s known=372.7m2 free=353.0m2 occ=19.7m2 (479x319)
coverage: t=5010s known=373.3m2 free=352.4m2 occ=20.9m2 (479x320)
coverage: t=5040s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5070s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5100s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5130s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5160s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5190s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5220s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5250s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5280s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5310s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5340s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5370s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5400s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5430s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5460s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5490s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5520s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5550s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5580s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5610s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5640s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5670s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5700s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5730s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5760s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5790s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5820s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5850s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5880s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5910s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5940s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=5970s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=6000s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=6030s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=6060s known=373.4m2 free=352.6m2 occ=20.8m2 (479x320)
coverage: t=6090s known=373.5m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6120s known=373.5m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6150s known=373.5m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6180s known=373.5m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6210s known=373.5m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6240s known=373.5m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6270s known=373.5m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6300s known=373.5m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6330s known=373.5m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6360s known=373.5m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6390s known=373.5m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6420s known=373.5m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6450s known=373.5m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6480s known=373.5m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6510s known=373.5m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6540s known=373.6m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6570s known=373.6m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6600s known=373.6m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6630s known=373.6m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6660s known=373.6m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6690s known=373.6m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6720s known=373.6m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6750s known=373.6m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6780s known=373.6m2 free=352.6m2 occ=20.9m2 (479x320)
coverage: t=6810s known=373.6m2 free=352.6m2 occ=21.0m2 (479x320)
coverage: t=6840s known=373.6m2 free=352.6m2 occ=21.0m2 (479x320)
coverage: t=6870s known=373.6m2 free=352.6m2 occ=21.0m2 (479x320)
coverage: t=6900s known=373.6m2 free=352.6m2 occ=21.0m2 (479x320)
