frame,t,x,y,yaw,speed,stalled,footprint_max_cost,footprint_blocked
100,1787218588.60,0.977,1.690,-2.143,0.260,0,0,0
101,1787218589.60,0.821,1.473,-2.224,0.260,0,0,0
102,1787218590.60,0.662,1.251,-2.167,0.260,0,0,0
103,1787218591.60,0.510,1.025,-2.163,0.260,0,0,0
104,1787218592.60,0.357,0.813,-2.218,0.260,0,151,0
105,1787218593.60,0.195,0.597,-2.209,0.260,0,158,0
106,1787218594.60,0.037,0.392,-2.230,0.260,0,0,0
107,1787218595.60,-0.129,0.183,-2.246,0.260,0,0,0
108,1787218596.60,-0.286,-0.027,-2.175,0.260,0,0,0
109,1787218597.60,-0.440,-0.244,-2.210,0.260,0,0,0
110,1787218598.60,-0.548,-0.393,-2.159,0.060,0,0,0
111,1787218599.60,-0.552,-0.399,-2.091,0.001,1,0,0
112,1787218600.60,-0.552,-0.399,-2.023,0.000,1,0,0
113,1787218601.60,-0.551,-0.397,-1.954,0.002,1,0,0
114,1787218602.60,-0.550,-0.394,-1.881,0.004,1,0,0
115,1787218603.60,-0.548,-0.389,-1.805,0.006,1,0,0
116,1787218604.60,-0.547,-0.383,-1.728,0.008,1,0,0
117,1787218605.60,-0.546,-0.374,-1.643,0.010,1,0,0
118,1787218606.60,-0.546,-0.364,-1.553,0.012,1,0,0
119,1787218607.60,-0.547,-0.349,-1.457,0.014,1,0,0
120,1787218608.60,-0.549,-0.333,-1.354,0.015,1,0,0
121,1787218609.60,-0.549,-0.334,-1.246,0.015,1,0,0
122,1787218610.60,-0.543,-0.347,-1.145,0.013,1,0,0
123,1787218611.60,-0.538,-0.357,-1.050,0.011,1,0,0
124,1787218612.60,-0.520,-0.384,-0.914,0.108,0,0,0
125,1787218613.60,-0.367,-0.542,-0.782,0.260,0,0,0
126,1787218614.60,-0.181,-0.721,-0.762,0.259,0,0,0
127,1787218615.60,0.004,-0.903,-0.745,0.263,0,0,0
128,1787218616.60,0.202,-1.074,-0.697,0.260,0,0,0
129,1787218617.60,0.407,-1.242,-0.685,0.259,0,0,0
130,1787218618.60,0.604,-1.417,-0.732,0.261,0,0,0
131,1787218619.60,0.804,-1.589,-0.684,0.261,0,0,0
132,1787218620.60,1.021,-1.759,-0.654,0.260,0,0,0
133,1787218621.60,1.233,-1.922,-0.664,0.260,0,0,0
134,1787218622.60,1.439,-2.080,-0.643,0.260,0,0,0
135,1787218623.60,1.653,-2.241,-0.651,0.260,0,0,0
136,1787218624.60,1.864,-2.402,-0.648,0.260,0,0,0
137,1787218625.60,2.079,-2.564,-0.636,0.260,0,0,0
138,1787218626.60,2.290,-2.724,-0.650,0.261,0,0,0
139,1787218627.60,2.504,-2.883,-0.616,0.260,0,0,0
140,1787218628.60,2.635,-2.979,-0.670,0.035,0,188,0
141,1787218629.60,2.635,-2.979,-0.741,0.005,1,188,0
142,1787218630.60,2.631,-2.974,-0.816,0.007,1,181,0
143,1787218631.60,2.626,-2.969,-0.895,0.008,1,173,0
144,1787218632.60,2.622,-2.962,-0.978,0.010,1,151,0
145,1787218633.60,2.622,-2.963,-0.951,0.010,1,0,0
146,1787218634.60,2.628,-2.971,-0.865,0.008,1,173,0
147,1787218635.60,2.682,-3.020,-0.676,0.196,0,205,0
148,1787218636.60,2.892,-3.166,-0.523,0.259,0,236,0
149,1787218637.60,3.125,-3.278,-0.309,0.260,0,235,0
150,1787218638.60,3.386,-3.299,0.203,0.238,0,206,0
151,1787218639.60,3.615,-3.183,0.666,0.249,0,182,0
152,1787218640.60,3.801,-3.000,0.800,0.258,0,182,0
153,1787218641.60,4.001,-2.818,0.650,0.261,0,171,0
154,1787218642.60,4.210,-2.658,0.716,0.262,0,0,0
155,1787218643.60,4.380,-2.498,0.792,0.137,0,0,0
156,1787218644.60,4.414,-2.463,0.869,0.004,1,0,0
157,1787218645.60,4.416,-2.460,0.941,0.002,1,0,0
158,1787218646.60,4.417,-2.459,1.010,0.001,1,0,0
159,1787218647.60,4.417,-2.459,1.078,0.001,1,0,0
160,1787218648.60,4.417,-2.459,1.114,0.001,1,0,0
161,1787218649.60,4.417,-2.459,1.048,0.000,1,0,0
162,1787218650.60,4.417,-2.459,0.984,0.001,1,0,0
163,1787218651.60,4.416,-2.460,0.916,0.003,1,0,0
164,1787218652.60,4.413,-2.464,0.844,0.005,1,0,0
165,1787218653.60,4.408,-2.469,0.769,0.007,1,0,0
166,1787218654.60,4.402,-2.474,0.689,0.009,1,0,0
167,1787218655.60,4.393,-2.481,0.605,0.011,1,0,0
168,1787218656.60,4.383,-2.487,0.515,0.013,1,0,0
