[INFO] [launch]: All log files can be found below /home/smirn/.ros/log/2026-08-20-03-03-50-001211-Tornadosky-93306
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [aruco_detector-1]: process started with pid [93307]
[aruco_detector-1] [INFO] [1787188524.891625666] [aruco_detector]: frames=3471 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188534.891626926] [aruco_detector]: frames=3521 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188544.889889936] [aruco_detector]: frames=3571 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188554.889928227] [aruco_detector]: frames=3621 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188564.889839942] [aruco_detector]: frames=3671 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188574.898230877] [aruco_detector]: frames=3721 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188584.898268192] [aruco_detector]: frames=3771 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188594.898247301] [aruco_detector]: frames=3821 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188604.898102543] [aruco_detector]: frames=3871 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188614.898099280] [aruco_detector]: frames=3921 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188624.898142208] [aruco_detector]: frames=3971 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188634.899401970] [aruco_detector]: frames=4021 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188644.941560211] [aruco_detector]: frames=4071 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
[aruco_detector-1] [INFO] [1787188654.941644620] [aruco_detector]: frames=4121 with_detections=429 confirmed=[1, 2, 4, 6, 7] pending=[]
