frame,t,x,y,yaw,speed,stalled,footprint_max_cost,footprint_blocked
0,1787217156.55,0.000,0.000,0.112,0.000,1,0,0
1,1787217157.54,0.000,0.000,0.115,0.000,1,0,0
2,1787217158.54,0.000,0.000,0.118,0.000,1,0,0
3,1787217159.54,0.000,0.000,0.121,0.000,1,0,0
4,1787217160.54,0.000,0.000,0.124,0.000,1,0,0
5,1787217161.54,0.000,0.000,0.127,0.000,1,0,0
6,1787217162.54,0.095,0.012,0.130,0.120,0,0,0
7,1787217163.54,0.215,0.028,0.133,0.120,0,0,0
8,1787217164.54,0.333,0.044,0.136,0.120,0,0,0
9,1787217165.54,0.462,0.062,0.139,0.120,0,0,0
10,1787217166.54,0.584,0.079,0.141,0.120,0,0,0
11,1787217167.54,0.704,0.096,0.144,0.120,0,0,0
12,1787217168.54,0.826,0.114,0.146,0.120,0,0,0
13,1787217169.54,0.944,0.132,0.149,0.120,0,0,0
14,1787217170.54,1.064,0.150,0.152,0.120,0,0,0
15,1787217171.54,1.186,0.169,0.154,0.120,0,0,0
16,1787217172.54,1.238,0.177,0.157,0.000,1,0,0
17,1787217173.54,1.238,0.177,0.160,0.000,1,0,0
18,1787217174.54,1.238,0.177,0.163,0.000,1,0,0
19,1787217175.54,1.238,0.177,0.166,0.000,1,0,0
20,1787217176.54,1.238,0.177,0.169,0.000,1,0,0
21,1787217177.54,1.238,0.177,0.171,0.000,1,0,0
22,1787217178.54,1.238,0.177,0.174,0.000,1,0,0
23,1787217179.54,1.238,0.177,0.176,0.000,1,0,0
24,1787217180.54,1.240,0.177,0.212,0.013,1,0,0
25,1787217181.54,1.254,0.181,0.316,0.014,1,0,0
26,1787217182.54,1.266,0.185,0.413,0.012,1,0,0
27,1787217183.54,1.277,0.191,0.504,0.010,1,0,0
28,1787217184.54,1.285,0.196,0.591,0.008,1,0,0
29,1787217185.54,1.291,0.200,0.673,0.006,1,0,0
30,1787217186.54,1.296,0.205,0.751,0.004,1,0,0
31,1787217187.54,1.299,0.207,0.825,0.002,1,0,0
32,1787217188.54,1.300,0.208,0.895,0.001,1,0,0
33,1787217189.54,1.300,0.208,0.963,0.001,1,0,0
34,1787217190.54,1.299,0.207,1.033,0.001,1,0,0
35,1787217191.54,1.299,0.207,1.101,0.001,1,0,0
36,1787217192.54,1.299,0.206,1.171,0.003,1,0,0
