frame,t,x,y,yaw,speed,stalled,footprint_max_cost,footprint_blocked
97,1787212056.91,-0.097,-0.492,2.736,0.000,1,248,0
98,1787212057.91,-0.097,-0.492,2.751,0.008,1,241,0
99,1787212058.91,-0.116,-0.491,-3.126,0.043,0,253,1
100,1787212059.91,-0.131,-0.492,-2.909,0.000,1,253,1
101,1787212060.91,-0.126,-0.491,-2.964,0.004,1,253,1
102,1787212061.91,-0.121,-0.491,-3.025,0.005,1,253,1
103,1787212062.91,-0.115,-0.490,-3.090,0.006,1,253,1
104,1787212063.91,-0.107,-0.490,3.106,0.011,1,253,1
105,1787212064.91,-0.095,-0.491,3.013,0.013,1,253,1
106,1787212065.91,-0.081,-0.494,2.914,0.014,1,248,0
107,1787212066.91,-0.068,-0.497,2.807,0.016,1,216,0
108,1787212067.91,-0.074,-0.495,2.762,0.000,1,213,0
109,1787212068.91,-0.050,-0.505,2.760,0.040,0,226,0
110,1787212069.91,-0.013,-0.519,2.758,0.040,0,216,0
111,1787212070.91,0.022,-0.534,2.756,0.040,0,226,0
112,1787212071.91,0.055,-0.547,2.753,0.040,0,216,0
113,1787212072.91,0.093,-0.562,2.751,0.040,0,226,0
114,1787212073.91,0.130,-0.578,2.748,0.040,0,235,0
115,1787212074.91,0.165,-0.593,2.746,0.002,1,226,0
116,1787212075.91,0.166,-0.593,2.743,0.000,1,226,0
117,1787212076.91,0.166,-0.593,2.741,0.000,1,226,0
118,1787212077.91,0.167,-0.593,2.757,0.008,1,226,0
119,1787212078.91,0.145,-0.590,-3.131,0.041,0,253,1
120,1787212079.91,0.130,-0.592,-2.913,0.000,1,253,1
121,1787212080.91,0.130,-0.592,-2.915,0.000,1,253,1
122,1787212081.91,0.130,-0.592,-2.918,0.000,1,253,1
123,1787212082.91,0.130,-0.592,-2.921,0.000,1,253,1
124,1787212083.91,0.130,-0.592,-2.926,0.002,1,253,1
125,1787212084.91,0.133,-0.591,-2.981,0.003,1,253,1
126,1787212085.91,0.138,-0.591,-3.041,0.004,1,253,1
127,1787212086.91,0.144,-0.590,-3.108,0.008,1,253,1
128,1787212087.91,0.155,-0.590,3.090,0.010,1,253,1
129,1787212088.91,0.113,-0.583,2.887,0.151,0,253,1
130,1787212089.91,-0.115,-0.489,2.757,0.260,0,216,0
131,1787212090.91,-0.372,-0.403,2.797,0.260,0,241,0
132,1787212091.91,-0.619,-0.314,2.808,0.260,0,253,1
133,1787212092.91,-0.863,-0.224,2.788,0.260,0,248,0
134,1787212093.91,-1.093,-0.114,2.656,0.260,0,248,0
135,1787212094.91,-1.271,-0.038,2.761,0.060,0,248,0
136,1787212095.91,-1.289,-0.030,2.653,0.015,1,248,0
137,1787212096.91,-1.304,-0.021,2.553,0.013,1,248,0
138,1787212097.91,-1.312,-0.015,2.458,0.011,1,248,0
139,1787212098.91,-1.320,-0.009,2.369,0.009,1,248,0
140,1787212099.91,-1.325,-0.003,2.285,0.007,1,253,1
141,1787212100.91,-1.329,0.002,2.206,0.005,1,248,0
142,1787212101.91,-1.331,0.005,2.130,0.003,1,253,1
143,1787212102.91,-1.332,0.007,2.058,0.001,1,236,0
144,1787212103.91,-1.333,0.008,1.990,0.000,1,248,0
145,1787212104.91,-1.333,0.008,1.919,0.000,1,248,0
146,1787212105.91,-1.333,0.009,1.851,0.000,1,241,0
147,1787212106.91,-1.333,0.008,1.782,0.002,1,236,0
148,1787212107.91,-1.332,0.005,1.713,0.004,1,248,0
149,1787212108.91,-1.332,-0.000,1.636,0.005,1,253,1
150,1787212109.91,-1.332,-0.006,1.555,0.007,1,248,0
151,1787212110.91,-1.332,-0.016,1.471,0.009,1,236,0
152,1787212111.91,-1.334,-0.026,1.381,0.011,1,236,0
153,1787212112.91,-1.337,-0.039,1.286,0.013,1,206,0
154,1787212113.91,-1.341,-0.051,1.189,0.000,1,206,0
155,1787212114.91,-1.344,-0.058,1.129,0.016,1,198,0
156,1787212115.91,-1.338,-0.048,1.022,0.015,1,189,0
157,1787212116.91,-1.331,-0.037,0.923,0.013,1,206,0
158,1787212117.91,-1.324,-0.029,0.829,0.011,1,216,0
159,1787212118.91,-1.315,-0.020,0.741,0.009,1,226,0
160,1787212119.91,-1.279,0.008,0.566,0.003,1,216,0
161,1787212120.91,-1.284,0.005,0.623,0.006,1,206,0
162,1787212121.91,-1.290,-0.000,0.701,0.008,1,209,0
163,1787212122.91,-1.297,-0.007,0.783,0.010,1,194,0
164,1787212123.91,-1.306,-0.016,0.871,0.012,1,189,0
165,1787212124.91,-1.315,-0.028,0.963,0.014,1,181,0
166,1787212125.91,-1.323,-0.041,1.064,0.016,1,164,0
167,1787212126.91,-1.320,-0.034,1.166,0.015,1,165,0
168,1787212127.91,-1.315,-0.021,1.261,0.013,1,173,0
169,1787212128.91,-1.312,-0.008,1.350,0.011,1,189,0
170,1787212129.91,-1.310,0.000,1.433,0.009,1,181,0
171,1787212130.91,-1.309,0.008,1.512,0.007,1,205,0
172,1787212131.91,-1.309,0.014,1.587,0.005,1,216,0
173,1787212132.91,-1.310,0.019,1.657,0.003,1,223,0
174,1787212133.91,-1.310,0.022,1.725,0.001,1,236,0
175,1787212134.91,-1.310,0.022,1.783,0.000,1,223,0
176,1787212135.91,-1.310,0.022,1.848,0.000,1,216,0
177,1787212136.91,-1.310,0.021,1.913,0.000,1,226,0
178,1787212137.91,-1.309,0.020,1.977,0.002,1,216,0
179,1787212138.91,-1.308,0.018,2.045,0.004,1,216,0
180,1787212139.91,-1.306,0.013,2.117,0.005,1,226,0
181,1787212140.91,-1.301,0.007,2.193,0.007,1,216,0
182,1787212141.91,-1.296,0.000,2.273,0.009,1,205,0
183,1787212142.91,-1.289,-0.008,2.358,0.011,1,216,0
184,1787212143.91,-1.280,-0.016,2.448,0.013,1,206,0
185,1787212144.91,-1.280,-0.017,2.572,0.079,0,205,0
186,1787212145.91,-1.471,0.059,2.825,0.235,0,253,1
187,1787212146.91,-1.673,0.166,2.407,0.254,0,253,1
188,1787212147.91,-1.818,0.327,2.296,0.147,0,253,1
189,1787212148.91,-1.988,0.453,2.633,0.260,0,216,0
190,1787212149.91,-2.216,0.579,2.664,0.260,0,223,0
191,1787212150.91,-2.450,0.706,2.627,0.260,0,226,0
192,1787212151.91,-2.675,0.832,2.636,0.260,0,226,0
193,1787212152.91,-2.900,0.958,2.633,0.260,0,248,0
194,1787212153.91,-3.132,1.090,2.625,0.260,0,253,1
195,1787212154.91,-3.366,1.228,2.602,0.260,0,236,0
196,1787212155.91,-3.593,1.371,2.612,0.260,0,248,0
197,1787212156.91,-3.823,1.512,2.560,0.260,0,236,0
198,1787212157.91,-4.050,1.653,2.625,0.260,0,241,0
199,1787212158.91,-4.285,1.791,2.600,0.260,0,248,0
200,1787212159.91,-4.511,1.936,2.572,0.260,0,236,0
201,1787212160.91,-4.724,2.057,2.684,0.261,0,248,0
202,1787212161.91,-4.978,2.137,3.042,0.247,0,253,1
203,1787212162.91,-5.236,2.118,-2.910,0.259,0,226,0
204,1787212163.91,-5.497,2.049,-2.890,0.259,0,195,0
205,1787212164.91,-5.746,1.979,-2.878,0.210,0,151,0
206,1787212165.91,-5.839,1.953,-2.819,0.001,1,195,0
207,1787212166.91,-5.837,1.954,-2.753,0.003,1,195,0
208,1787212167.91,-5.833,1.955,-2.683,0.005,1,182,0
209,1787212168.91,-5.828,1.958,-2.609,0.002,1,179,0
210,1787212169.91,-5.832,1.956,-2.672,0.005,1,182,0
211,1787212170.91,-5.835,1.954,-2.747,0.003,1,195,0
212,1787212171.91,-5.837,1.954,-2.818,0.001,1,195,0
213,1787212172.91,-5.838,1.954,-2.886,0.000,1,195,0
214,1787212173.91,-5.839,1.953,-2.956,0.000,1,205,0
215,1787212174.91,-5.839,1.953,-3.024,0.000,1,189,0
216,1787212175.91,-5.838,1.954,-3.092,0.002,1,198,0
217,1787212176.91,-5.835,1.954,3.119,0.004,1,198,0
218,1787212177.91,-5.830,1.953,3.043,0.006,1,198,0
219,1787212178.91,-5.824,1.952,2.963,0.008,1,182,0
220,1787212179.91,-5.815,1.950,2.879,0.009,1,173,0
221,1787212180.91,-5.807,1.948,2.789,0.011,1,164,0
222,1787212181.91,-5.797,1.944,2.694,0.013,1,0,0
223,1787212182.91,-5.784,1.936,2.593,0.015,1,0,0
224,1787212183.91,-5.783,1.936,2.485,0.015,1,0,0
225,1787212184.91,-5.793,1.945,2.382,0.013,1,0,0
226,1787212185.91,-5.793,1.945,2.310,0.040,0,0,0
227,1787212186.91,-5.766,1.915,2.308,0.040,0,0,0
228,1787212187.91,-5.739,1.885,2.305,0.040,0,0,0
229,1787212188.91,-5.711,1.854,2.303,0.040,0,0,0
230,1787212189.91,-5.682,1.821,2.301,0.040,0,0,0
231,1787212190.91,-5.655,1.791,2.299,0.040,0,158,0
232,1787212191.91,-5.628,1.761,2.297,0.040,0,182,0
233,1787212192.91,-5.628,1.761,2.227,0.010,1,194,0
234,1787212193.91,-5.633,1.769,2.139,0.009,1,209,0
235,1787212194.91,-5.636,1.774,2.056,0.007,1,209,0
236,1787212195.91,-5.638,1.778,1.978,0.005,1,205,0
237,1787212196.91,-5.640,1.782,1.904,0.003,1,216,0
238,1787212197.91,-5.640,1.785,1.833,0.001,1,216,0
239,1787212198.91,-5.650,1.841,1.667,0.175,0,198,0
240,1787212199.91,-5.653,2.090,1.586,0.260,0,0,0
241,1787212200.91,-5.680,2.364,1.697,0.260,0,165,0
242,1787212201.91,-5.688,2.626,1.519,0.260,0,164,0
243,1787212202.91,-5.684,2.889,1.615,0.260,0,0,0
244,1787212203.91,-5.698,3.159,1.588,0.259,0,0,0
245,1787212204.91,-5.702,3.406,1.616,0.136,0,0,0
246,1787212205.91,-5.704,3.445,1.680,0.000,1,0,0
