[INFO] [launch]: All log files can be found below /home/smirn/.ros/log/2026-08-20-03-50-21-834693-Tornadosky-100720
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [aruco_detector-1]: process started with pid [100721]
[aruco_detector-1] [INFO] [1787190907.167986259] [aruco_detector]: frames=1420 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787190917.167158583] [aruco_detector]: frames=1470 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787190927.166987694] [aruco_detector]: frames=1520 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787190937.166971660] [aruco_detector]: frames=1570 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787190947.165285404] [aruco_detector]: frames=1620 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787190957.165374427] [aruco_detector]: frames=1670 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787190967.165305482] [aruco_detector]: frames=1720 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787190977.164345259] [aruco_detector]: frames=1770 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787190987.164342517] [aruco_detector]: frames=1820 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787190997.164402081] [aruco_detector]: frames=1870 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191007.162359186] [aruco_detector]: frames=1920 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191017.162557717] [aruco_detector]: frames=1970 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191027.162376163] [aruco_detector]: frames=2020 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191037.158736979] [aruco_detector]: frames=2070 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191047.158622371] [aruco_detector]: frames=2120 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191057.158534686] [aruco_detector]: frames=2170 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191067.157328549] [aruco_detector]: frames=2220 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191077.157322801] [aruco_detector]: frames=2270 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191087.158477588] [aruco_detector]: frames=2320 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191097.158387516] [aruco_detector]: frames=2370 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191107.159741920] [aruco_detector]: frames=2420 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191117.159546519] [aruco_detector]: frames=2470 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191127.157658095] [aruco_detector]: frames=2520 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191137.157655360] [aruco_detector]: frames=2570 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191147.157650169] [aruco_detector]: frames=2620 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191157.156050231] [aruco_detector]: frames=2670 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191167.157156966] [aruco_detector]: frames=2720 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191177.158282494] [aruco_detector]: frames=2770 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191187.180598806] [aruco_detector]: frames=2820 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191197.189912728] [aruco_detector]: frames=2870 with_detections=160 confirmed=[1] pending=[4, 6]
[aruco_detector-1] [INFO] [1787191207.189935544] [aruco_detector]: frames=2920 with_detections=160 confirmed=[1] pending=[4, 6]
