frame,t,x,y,yaw,speed,stalled,footprint_max_cost,footprint_blocked
99,1787215376.10,0.191,0.955,-1.938,0.012,1,0,0
100,1787215377.10,0.195,0.967,-1.844,0.014,1,0,0
101,1787215378.10,0.198,0.981,-1.744,0.016,1,0,0
102,1787215379.10,0.198,0.978,-1.639,0.015,1,0,0
103,1787215380.10,0.197,0.962,-1.541,0.013,1,0,0
104,1787215381.10,0.198,0.951,-1.449,0.011,1,0,0
105,1787215382.10,0.200,0.941,-1.369,0.009,1,0,0
106,1787215383.10,0.202,0.934,-1.288,0.007,1,0,0
107,1787215384.10,0.204,0.926,-1.210,0.005,1,0,0
108,1787215385.10,0.206,0.923,-1.138,0.004,1,0,0
109,1787215386.10,0.207,0.920,-1.068,0.002,1,0,0
110,1787215387.10,0.207,0.920,-1.005,0.000,1,0,0
111,1787215388.10,0.207,0.921,-0.937,0.000,1,0,0
112,1787215389.10,0.206,0.921,-0.870,0.000,1,0,0
113,1787215390.10,0.206,0.922,-0.805,0.001,1,0,0
114,1787215391.10,0.203,0.924,-0.737,0.003,1,0,0
115,1787215392.10,0.200,0.927,-0.664,0.005,1,0,0
116,1787215393.10,0.194,0.931,-0.588,0.007,1,0,0
117,1787215394.10,0.271,0.895,-0.324,0.215,0,0,0
118,1787215395.10,0.490,0.832,-0.367,0.165,0,253,1
119,1787215396.10,0.666,0.708,-0.790,0.209,0,253,1
120,1787215397.10,0.731,0.639,-0.790,0.002,1,253,1
121,1787215398.10,0.737,0.634,-0.694,0.073,0,241,0
122,1787215399.10,0.906,0.553,-0.255,0.259,0,222,0
123,1787215400.10,1.103,0.513,-0.240,0.191,0,222,0
124,1787215401.10,1.348,0.428,-0.389,0.259,0,202,0
125,1787215402.10,1.601,0.331,-0.384,0.260,0,165,0
126,1787215403.10,1.853,0.232,-0.413,0.261,0,0,0
127,1787215404.10,2.096,0.134,-0.388,0.261,0,0,0
128,1787215405.10,2.344,0.032,-0.436,0.262,0,0,0
129,1787215406.10,2.580,-0.098,-0.547,0.250,0,0,0
130,1787215407.10,2.799,-0.203,-0.305,0.263,0,0,0
131,1787215408.10,3.055,-0.290,-0.464,0.255,0,0,0
132,1787215409.10,3.278,-0.430,-0.550,0.259,0,0,0
133,1787215410.10,3.528,-0.531,-0.263,0.260,0,0,0
134,1787215411.10,3.772,-0.622,-0.505,0.253,0,0,0
135,1787215412.10,3.991,-0.756,-0.509,0.259,0,0,0
136,1787215413.10,4.228,-0.865,-0.393,0.261,0,0,0
137,1787215414.10,4.469,-0.983,-0.503,0.261,0,0,0
138,1787215415.10,4.701,-1.105,-0.467,0.261,0,0,0
139,1787215416.10,4.940,-1.231,-0.516,0.262,0,0,0
140,1787215417.10,5.165,-1.367,-0.587,0.263,0,213,0
141,1787215418.10,5.378,-1.535,-0.752,0.263,0,241,0
142,1787215419.10,5.554,-1.746,-1.003,0.262,0,236,0
143,1787215420.10,5.677,-1.976,-1.155,0.259,0,222,0
144,1787215421.10,5.785,-2.217,-1.151,0.260,0,0,0
145,1787215422.10,5.877,-2.417,-1.170,0.105,0,150,0
146,1787215423.10,5.884,-2.436,-1.243,0.005,1,0,0
147,1787215424.10,5.883,-2.430,-1.321,0.007,1,0,0
148,1787215425.10,5.881,-2.422,-1.403,0.009,1,0,0
149,1787215426.10,5.879,-2.410,-1.490,0.011,1,0,0
150,1787215427.10,5.879,-2.406,-1.511,0.011,1,0,0
151,1787215428.10,5.880,-2.416,-1.425,0.009,1,0,0
152,1787215429.10,5.882,-2.423,-1.344,0.007,1,0,0
153,1787215430.10,5.883,-2.427,-1.267,0.005,1,0,0
154,1787215431.10,5.884,-2.430,-1.193,0.004,1,0,0
155,1787215432.10,5.885,-2.433,-1.123,0.002,1,150,0
156,1787215433.10,5.885,-2.433,-1.057,0.000,1,155,0
157,1787215434.10,5.885,-2.433,-0.991,0.000,1,171,0
158,1787215435.10,5.885,-2.433,-0.925,0.000,1,171,0
159,1787215436.10,5.884,-2.432,-0.860,0.001,1,176,0
160,1787215437.10,5.882,-2.430,-0.791,0.003,1,179,0
161,1787215438.10,5.879,-2.427,-0.719,0.005,1,182,0
162,1787215439.10,5.874,-2.423,-0.643,0.007,1,165,0
163,1787215440.10,5.869,-2.419,-0.562,0.009,1,179,0
164,1787215441.10,5.860,-2.414,-0.477,0.011,1,164,0
165,1787215442.10,5.852,-2.410,-0.401,0.000,1,165,0
166,1787215443.10,5.852,-2.410,-0.401,0.000,1,165,0
167,1787215444.10,5.852,-2.410,-0.398,0.003,1,165,0
168,1787215445.10,5.842,-2.407,-0.300,0.015,1,155,0
169,1787215446.10,5.831,-2.404,-0.196,0.016,1,0,0
170,1787215447.10,5.846,-2.406,-0.094,0.014,1,0,0
171,1787215448.10,5.860,-2.407,0.002,0.012,1,0,0
172,1787215449.10,5.872,-2.406,0.091,0.010,1,0,0
173,1787215450.10,5.881,-2.405,0.175,0.008,1,155,0
174,1787215451.10,5.890,-2.403,0.254,0.006,1,164,0
175,1787215452.10,5.896,-2.401,0.330,0.004,1,163,0
176,1787215453.10,5.900,-2.400,0.401,0.003,1,165,0
177,1787215454.10,5.901,-2.399,0.469,0.001,1,182,0
178,1787215455.10,5.902,-2.399,0.534,0.001,1,202,0
179,1787215456.10,5.901,-2.399,0.602,0.001,1,202,0
180,1787215457.10,5.900,-2.400,0.667,0.001,1,202,0
181,1787215458.10,5.899,-2.401,0.733,0.002,1,182,0
182,1787215459.10,5.947,-2.347,0.923,0.180,0,201,0
183,1787215460.10,6.091,-2.139,0.969,0.262,0,216,0
184,1787215461.10,6.223,-1.966,0.922,0.115,0,223,0
185,1787215462.10,6.245,-1.926,1.341,0.022,0,253,1
186,1787215463.10,6.245,-1.931,1.600,0.002,1,253,1
187,1787215464.10,6.245,-1.941,1.509,0.010,1,253,1
188,1787215465.10,6.243,-1.952,1.434,0.011,1,253,1
189,1787215466.10,6.241,-1.965,1.356,0.012,1,253,1
190,1787215467.10,6.243,-1.957,1.275,0.011,1,253,1
191,1787215468.10,6.247,-1.947,1.199,0.010,1,253,1
192,1787215469.10,6.251,-1.938,1.128,0.009,1,253,1
193,1787215470.10,6.255,-1.930,1.056,0.011,1,253,1
194,1787215471.10,6.320,-1.844,0.853,0.221,0,253,1
195,1787215472.10,6.494,-1.643,0.845,0.262,0,165,0
196,1787215473.10,6.691,-1.465,0.634,0.260,0,0,0
197,1787215474.10,6.901,-1.306,0.703,0.259,0,0,0
198,1787215475.10,7.100,-1.132,0.715,0.261,0,0,0
199,1787215476.10,7.300,-0.963,0.687,0.260,0,0,0
200,1787215477.10,7.496,-0.801,0.688,0.261,0,202,0
201,1787215478.10,7.708,-0.638,0.620,0.260,0,253,1
202,1787215479.10,7.915,-0.465,0.826,0.267,0,253,1
203,1787215480.10,8.087,-0.265,0.860,0.261,0,241,0
204,1787215481.10,8.253,-0.069,0.911,0.259,0,0,0
205,1787215482.10,8.383,0.092,0.910,0.087,0,0,0
206,1787215483.10,8.390,0.100,0.991,0.009,1,0,0
207,1787215484.10,8.385,0.093,1.074,0.011,1,0,0
208,1787215485.10,8.380,0.081,1.166,0.013,1,0,0
209,1787215486.10,8.375,0.068,1.263,0.015,1,0,0
210,1787215487.10,8.374,0.066,1.273,0.015,1,0,0
211,1787215488.10,8.379,0.078,1.173,0.013,1,0,0
212,1787215489.10,8.395,0.109,1.039,0.124,0,0,0
213,1787215490.10,8.521,0.286,0.858,0.253,0,0,0
214,1787215491.10,8.708,0.474,0.756,0.258,0,0,0
215,1787215492.10,8.897,0.660,0.821,0.259,0,0,0
216,1787215493.10,9.071,0.857,0.806,0.263,0,0,0
217,1787215494.10,9.264,1.042,0.749,0.260,0,0,0
218,1787215495.10,9.459,1.221,0.745,0.259,0,0,0
219,1787215496.10,9.649,1.391,0.674,0.261,0,223,0
220,1787215497.10,9.865,1.530,0.499,0.260,0,253,1
221,1787215498.10,10.068,1.654,0.700,0.149,0,253,1
222,1787215499.10,10.190,1.825,1.134,0.262,0,253,1
223,1787215500.10,10.275,2.070,1.307,0.260,0,248,0
224,1787215501.10,10.337,2.330,1.371,0.260,0,248,0
225,1787215502.10,10.393,2.590,1.322,0.260,0,253,1
226,1787215503.10,10.451,2.848,1.363,0.260,0,248,0
227,1787215504.10,10.508,3.106,1.336,0.260,0,253,1
228,1787215505.10,10.560,3.370,1.485,0.258,0,253,1
229,1787215506.10,10.540,3.627,1.870,0.214,0,253,1
230,1787215507.10,10.497,3.728,2.066,0.001,1,253,1
231,1787215508.10,10.497,3.728,2.133,0.001,1,253,1
232,1787215509.10,10.498,3.727,2.198,0.001,1,253,1
233,1787215510.10,10.498,3.727,2.265,0.002,1,253,1
234,1787215511.10,10.501,3.724,2.336,0.004,1,253,1
235,1787215512.10,10.504,3.721,2.410,0.006,1,253,1
236,1787215513.10,10.509,3.716,2.489,0.008,1,253,1
237,1787215514.10,10.517,3.711,2.572,0.010,1,253,1
238,1787215515.10,10.526,3.706,2.648,0.009,1,253,1
239,1787215516.10,10.534,3.702,2.717,0.010,1,253,1
240,1787215517.10,10.544,3.698,2.791,0.011,1,253,1
241,1787215518.10,10.553,3.695,2.868,0.012,1,253,1
242,1787215519.10,10.546,3.696,2.947,0.011,1,253,1
243,1787215520.10,10.535,3.698,3.022,0.010,1,253,1
244,1787215521.10,10.526,3.699,3.101,0.012,1,253,1
245,1787215522.10,10.513,3.699,-3.093,0.010,1,253,1
246,1787215523.10,10.504,3.698,-3.009,0.008,1,253,1
247,1787215524.10,10.496,3.697,-2.931,0.006,1,253,1
248,1787215525.10,10.491,3.696,-2.856,0.004,1,253,1
249,1787215526.10,10.488,3.694,-2.786,0.002,1,253,1
250,1787215527.10,10.487,3.694,-2.731,0.001,1,253,1
251,1787215528.10,10.486,3.694,-2.683,0.000,1,253,1
252,1787215529.10,10.486,3.694,-2.634,0.000,1,253,1
253,1787215530.10,10.487,3.694,-2.584,0.001,1,253,1
254,1787215531.10,10.487,3.694,-2.536,0.000,1,253,1
255,1787215532.10,10.488,3.695,-2.487,0.001,1,253,1
256,1787215533.10,10.489,3.696,-2.435,0.002,1,253,1
257,1787215534.10,10.491,3.698,-2.381,0.003,1,253,1
258,1787215535.10,10.494,3.700,-2.325,0.004,1,253,1
259,1787215536.10,10.497,3.704,-2.268,0.006,1,253,1
260,1787215537.10,10.501,3.709,-2.207,0.007,1,253,1
261,1787215538.10,10.506,3.716,-2.143,0.008,1,253,1
262,1787215539.10,10.510,3.722,-2.077,0.009,1,253,1
263,1787215540.10,10.514,3.731,-2.007,0.010,1,253,1
264,1787215541.10,10.518,3.741,-1.934,0.011,1,253,1
265,1787215542.10,10.521,3.749,-1.825,0.055,0,253,1
266,1787215543.10,10.506,3.577,-1.616,0.259,0,253,1
267,1787215544.10,10.462,3.322,-1.868,0.260,0,241,0
268,1787215545.10,10.381,3.061,-1.878,0.260,0,245,0
269,1787215546.10,10.305,2.802,-1.844,0.260,0,241,0
270,1787215547.10,10.232,2.540,-1.835,0.260,0,235,0
271,1787215548.10,10.161,2.287,-1.846,0.260,0,241,0
272,1787215549.10,10.079,2.031,-1.961,0.261,0,241,0
273,1787215550.10,9.960,1.795,-2.133,0.260,0,236,0
274,1787215551.10,9.799,1.586,-2.319,0.256,0,205,0
275,1787215552.10,9.611,1.397,-2.386,0.262,0,0,0
276,1787215553.10,9.420,1.212,-2.313,0.259,0,0,0
277,1787215554.10,9.240,1.014,-2.326,0.262,0,0,0
278,1787215555.10,9.043,0.829,-2.439,0.261,0,0,0
279,1787215556.10,8.839,0.652,-2.414,0.260,0,0,0
280,1787215557.10,8.633,0.467,-2.391,0.260,0,160,0
281,1787215558.10,8.444,0.294,-2.385,0.260,0,182,0
282,1787215559.10,8.244,0.111,-2.420,0.261,0,182,0
283,1787215560.10,8.038,-0.065,-2.432,0.259,0,0,0
284,1787215561.10,7.835,-0.234,-2.468,0.261,0,158,0
285,1787215562.10,7.622,-0.397,-2.500,0.261,0,182,0
286,1787215563.10,7.407,-0.552,-2.554,0.260,0,173,0
287,1787215564.10,7.183,-0.683,-2.614,0.259,0,0,0
288,1787215565.10,6.952,-0.830,-2.570,0.260,0,0,0
289,1787215566.10,6.720,-0.976,-2.564,0.260,0,0,0
290,1787215567.10,6.494,-1.129,-2.556,0.260,0,0,0
291,1787215568.10,6.266,-1.263,-2.633,0.260,0,0,0
292,1787215569.10,6.040,-1.410,-2.515,0.260,0,241,0
293,1787215570.10,5.821,-1.554,-2.578,0.210,0,248,0
294,1787215571.10,5.670,-1.686,-2.208,0.250,0,241,0
295,1787215572.10,5.543,-1.934,-1.863,0.265,0,206,0
296,1787215573.10,5.520,-2.197,-1.492,0.252,0,179,0
297,1787215574.10,5.550,-2.458,-1.450,0.260,0,171,0
298,1787215575.10,5.583,-2.733,-1.413,0.264,0,0,0
299,1787215576.10,5.624,-3.002,-1.432,0.262,0,0,0
300,1787215577.10,5.669,-3.268,-1.363,0.262,0,0,0
301,1787215578.10,5.728,-3.525,-1.326,0.262,0,0,0
302,1787215579.10,5.787,-3.778,-1.385,0.260,0,0,0
303,1787215580.10,5.838,-4.037,-1.339,0.263,0,0,0
304,1787215581.10,5.901,-4.288,-1.314,0.262,0,0,0
305,1787215582.10,5.970,-4.539,-1.302,0.260,0,168,0
306,1787215583.10,6.047,-4.793,-1.269,0.260,0,253,1
307,1787215584.10,6.126,-5.054,-1.296,0.259,0,253,1
308,1787215585.10,6.192,-5.308,-1.362,0.259,0,253,1
309,1787215586.10,6.191,-5.571,-1.823,0.272,0,253,1
310,1787215587.10,6.113,-5.757,-2.072,0.076,0,236,0
311,1787215588.10,6.101,-5.776,-2.162,0.010,1,226,0
312,1787215589.10,6.095,-5.785,-2.248,0.008,1,253,1
313,1787215590.10,6.090,-5.791,-2.330,0.007,1,253,1
314,1787215591.10,6.086,-5.794,-2.407,0.005,1,253,1
315,1787215592.10,6.083,-5.797,-2.480,0.003,1,253,1
316,1787215593.10,6.082,-5.798,-2.545,0.001,1,253,1
317,1787215594.10,6.082,-5.798,-2.596,0.000,1,253,1
318,1787215595.10,6.081,-5.799,-2.646,0.000,1,253,1
319,1787215596.10,6.081,-5.799,-2.698,0.001,1,253,1
320,1787215597.10,6.081,-5.799,-2.748,0.000,1,253,1
321,1787215598.10,6.082,-5.798,-2.799,0.001,1,253,1
322,1787215599.10,6.083,-5.798,-2.852,0.002,1,253,1
323,1787215600.10,6.086,-5.797,-2.907,0.003,1,253,1
324,1787215601.10,6.089,-5.797,-2.964,0.004,1,253,1
325,1787215602.10,6.095,-5.796,-3.025,0.005,1,253,1
326,1787215603.10,6.101,-5.795,-3.092,0.009,1,253,1
327,1787215604.10,6.110,-5.795,3.104,0.011,1,253,1
328,1787215605.10,6.121,-5.796,3.012,0.013,1,253,1
329,1787215606.10,6.136,-5.799,2.914,0.015,1,253,1
330,1787215607.10,6.149,-5.802,2.808,0.016,1,253,1
331,1787215608.10,6.134,-5.796,2.704,0.014,1,253,1
332,1787215609.10,6.122,-5.790,2.609,0.012,1,253,1
