coverage: no map yet
coverage: t=2460s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=2490s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=2520s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=2550s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=2580s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=2610s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=2640s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=2670s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=2700s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=2730s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=2760s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=2790s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=2820s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=2850s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=2880s known=187.8m2 free=176.8m2 occ=11.0m2 (281x281)
coverage: t=2910s known=187.9m2 free=176.6m2 occ=11.3m2 (281x281)
coverage: t=2940s known=187.9m2 free=176.6m2 occ=11.3m2 (281x281)
coverage: t=2970s known=187.9m2 free=176.7m2 occ=11.2m2 (281x281)
coverage: t=3000s known=187.9m2 free=176.7m2 occ=11.2m2 (281x281)
coverage: t=3030s known=187.9m2 free=176.7m2 occ=11.3m2 (281x281)
coverage: t=3060s known=187.9m2 free=176.7m2 occ=11.3m2 (281x281)
coverage: t=3090s known=188.0m2 free=176.7m2 occ=11.3m2 (281x281)
coverage: t=3120s known=188.0m2 free=176.7m2 occ=11.3m2 (281x281)
coverage: t=3150s known=188.0m2 free=176.7m2 occ=11.3m2 (281x281)
coverage: t=3180s known=188.0m2 free=176.7m2 occ=11.3m2 (281x281)
coverage: t=3210s known=188.0m2 free=176.7m2 occ=11.3m2 (281x281)
coverage: t=3240s known=188.0m2 free=176.7m2 occ=11.3m2 (281x281)
coverage: t=3270s known=188.0m2 free=176.7m2 occ=11.3m2 (281x281)
coverage: t=3300s known=188.0m2 free=176.7m2 occ=11.3m2 (281x281)
