frame,t,x,y,yaw,speed,stalled,footprint_max_cost,footprint_blocked
99,1787209619.52,1.488,2.302,-2.410,0.260,0,0,0
100,1787209620.52,1.296,2.127,-2.399,0.260,0,0,0
101,1787209621.52,1.099,1.957,-2.447,0.260,0,0,0
102,1787209622.52,0.904,1.785,-2.392,0.260,0,165,0
103,1787209623.52,0.711,1.611,-2.432,0.260,0,253,1
104,1787209624.52,0.516,1.438,-2.400,0.260,0,253,1
105,1787209625.52,0.322,1.266,-2.447,0.260,0,253,1
106,1787209626.52,0.125,1.096,-2.405,0.260,0,253,1
107,1787209627.52,-0.069,0.923,-2.442,0.260,0,247,0
108,1787209628.52,-0.265,0.752,-2.413,0.260,0,0,0
109,1787209629.52,-0.459,0.587,-2.441,0.260,0,0,0
110,1787209630.52,-0.659,0.421,-2.492,0.259,0,0,0
111,1787209631.52,-0.868,0.267,-2.482,0.261,0,0,0
112,1787209632.52,-1.067,0.098,-2.403,0.260,0,0,0
113,1787209633.52,-1.259,-0.076,-2.420,0.260,0,206,0
114,1787209634.52,-1.456,-0.247,-2.444,0.259,0,241,0
115,1787209635.52,-1.637,-0.390,-2.470,0.139,0,165,0
116,1787209636.52,-1.668,-0.415,-2.405,0.000,1,149,0
117,1787209637.52,-1.668,-0.415,-2.337,0.001,1,149,0
118,1787209638.52,-1.668,-0.415,-2.271,0.000,1,149,0
119,1787209639.52,-1.667,-0.414,-2.204,0.002,1,149,0
120,1787209640.52,-1.664,-0.414,-2.133,0.004,1,149,0
121,1787209641.52,-1.659,-0.414,-2.058,0.006,1,149,0
122,1787209642.52,-1.652,-0.414,-1.980,0.008,1,149,0
123,1787209643.52,-1.643,-0.414,-1.896,0.010,1,0,0
124,1787209644.52,-1.633,-0.414,-1.808,0.012,1,0,0
125,1787209645.52,-1.620,-0.414,-1.714,0.014,1,0,0
126,1787209646.52,-1.605,-0.414,-1.613,0.015,1,0,0
127,1787209647.52,-1.590,-0.414,-1.507,0.015,1,0,0
128,1787209648.52,-1.576,-0.414,-1.408,0.013,1,0,0
129,1787209649.52,-1.563,-0.414,-1.315,0.011,1,0,0
130,1787209650.52,-1.553,-0.414,-1.228,0.009,1,0,0
131,1787209651.52,-1.545,-0.414,-1.145,0.007,1,0,0
132,1787209652.52,-1.538,-0.414,-1.068,0.005,1,0,0
133,1787209653.52,-1.531,-0.419,-0.981,0.054,0,0,0
134,1787209654.52,-1.417,-0.552,-0.814,0.260,0,0,0
135,1787209655.52,-1.239,-0.741,-0.771,0.260,0,0,0
136,1787209656.52,-1.057,-0.928,-0.842,0.260,0,0,0
137,1787209657.52,-0.883,-1.120,-0.814,0.260,0,0,0
138,1787209658.52,-0.702,-1.307,-0.785,0.260,0,0,0
139,1787209659.52,-0.520,-1.493,-0.861,0.260,0,0,0
140,1787209660.52,-0.352,-1.691,-0.834,0.260,0,0,0
141,1787209661.52,-0.181,-1.880,-0.875,0.260,0,0,0
142,1787209662.52,-0.010,-2.076,-0.814,0.259,0,0,0
