coverage: t=2430s known=185.7m2 free=167.1m2 occ=18.6m2 (319x353)
coverage: t=2460s known=185.7m2 free=167.1m2 occ=18.6m2 (319x353)
coverage: t=2490s known=187.9m2 free=169.5m2 occ=18.5m2 (319x355)
coverage: t=2520s known=187.9m2 free=169.5m2 occ=18.5m2 (319x355)
coverage: t=2550s known=187.9m2 free=169.5m2 occ=18.5m2 (319x355)
coverage: t=2580s known=189.7m2 free=171.1m2 occ=18.6m2 (319x358)
coverage: t=2610s known=189.8m2 free=171.2m2 occ=18.6m2 (319x358)
coverage: t=2640s known=189.8m2 free=171.2m2 occ=18.6m2 (319x358)
coverage: t=2670s known=189.8m2 free=171.2m2 occ=18.6m2 (319x358)
coverage: t=2700s known=189.8m2 free=171.2m2 occ=18.6m2 (319x358)
coverage: t=2730s known=189.8m2 free=171.2m2 occ=18.6m2 (319x358)
coverage: t=2760s known=189.9m2 free=171.2m2 occ=18.6m2 (319x358)
coverage: t=2790s known=189.9m2 free=171.2m2 occ=18.6m2 (319x358)
coverage: t=2820s known=189.9m2 free=171.2m2 occ=18.6m2 (319x358)
coverage: t=2850s known=190.6m2 free=171.6m2 occ=19.1m2 (319x358)
coverage: t=2880s known=191.3m2 free=172.0m2 occ=19.3m2 (319x358)
coverage: t=2910s known=191.7m2 free=172.3m2 occ=19.4m2 (319x358)
coverage: t=2940s known=192.2m2 free=172.7m2 occ=19.6m2 (319x358)
coverage: t=2970s known=192.8m2 free=172.8m2 occ=20.0m2 (319x358)
coverage: t=3000s known=192.9m2 free=172.8m2 occ=20.1m2 (319x358)
coverage: t=3030s known=192.9m2 free=172.8m2 occ=20.1m2 (319x358)
coverage: t=3060s known=193.0m2 free=172.8m2 occ=20.1m2 (319x358)
coverage: t=3090s known=193.0m2 free=172.8m2 occ=20.2m2 (319x358)
coverage: t=3120s known=193.0m2 free=172.8m2 occ=20.2m2 (319x358)
coverage: t=3150s known=193.6m2 free=172.9m2 occ=20.7m2 (324x358)
coverage: t=3180s known=193.7m2 free=173.1m2 occ=20.6m2 (324x358)
coverage: t=3210s known=193.7m2 free=173.1m2 occ=20.6m2 (324x358)
coverage: t=3240s known=193.7m2 free=173.1m2 occ=20.6m2 (324x358)
coverage: t=3270s known=193.7m2 free=173.1m2 occ=20.6m2 (324x358)
coverage: t=3300s known=193.8m2 free=173.1m2 occ=20.7m2 (324x358)
coverage: t=3330s known=193.8m2 free=173.1m2 occ=20.8m2 (324x358)
coverage: t=3360s known=194.1m2 free=173.2m2 occ=20.9m2 (324x358)
coverage: t=3390s known=191.0m2 free=171.1m2 occ=19.9m2 (314x343)
coverage: t=3420s known=191.0m2 free=171.0m2 occ=20.0m2 (314x343)
coverage: t=3450s known=191.0m2 free=170.9m2 occ=20.1m2 (314x343)
coverage: t=3480s known=191.2m2 free=170.9m2 occ=20.3m2 (314x343)
coverage: t=3510s known=191.5m2 free=171.0m2 occ=20.5m2 (314x343)
coverage: t=3540s known=191.5m2 free=171.0m2 occ=20.5m2 (314x343)
coverage: t=3570s known=191.5m2 free=171.0m2 occ=20.5m2 (314x343)
coverage: t=3600s known=191.6m2 free=171.1m2 occ=20.5m2 (314x343)
coverage: t=3630s known=191.6m2 free=171.1m2 occ=20.5m2 (314x343)
coverage: t=3660s known=191.6m2 free=171.1m2 occ=20.5m2 (314x343)
coverage: t=3690s known=191.6m2 free=171.1m2 occ=20.4m2 (314x343)
coverage: t=3720s known=191.6m2 free=171.1m2 occ=20.4m2 (314x343)
coverage: t=3750s known=191.6m2 free=171.2m2 occ=20.4m2 (314x343)
coverage: t=3780s known=191.6m2 free=171.2m2 occ=20.3m2 (314x343)
coverage: t=3810s known=191.6m2 free=171.2m2 occ=20.3m2 (314x343)
coverage: t=3840s known=191.6m2 free=171.3m2 occ=20.3m2 (314x343)
coverage: t=3870s known=191.7m2 free=171.4m2 occ=20.3m2 (314x343)
coverage: t=3900s known=191.7m2 free=171.4m2 occ=20.3m2 (314x343)
coverage: t=3930s known=191.8m2 free=171.4m2 occ=20.4m2 (314x360)
coverage: t=3960s known=191.8m2 free=171.4m2 occ=20.4m2 (314x360)
coverage: t=3990s known=192.1m2 free=171.4m2 occ=20.7m2 (314x363)
coverage: t=4020s known=192.1m2 free=171.4m2 occ=20.7m2 (314x363)
coverage: t=4050s known=192.1m2 free=171.4m2 occ=20.7m2 (314x363)
coverage: t=4080s known=192.1m2 free=171.4m2 occ=20.7m2 (314x363)
coverage: t=4110s known=192.1m2 free=171.3m2 occ=20.7m2 (314x363)
coverage: t=4140s known=192.1m2 free=171.3m2 occ=20.8m2 (314x363)
coverage: t=4170s known=193.2m2 free=173.0m2 occ=20.2m2 (311x364)
coverage: t=4200s known=193.2m2 free=173.0m2 occ=20.2m2 (311x364)
coverage: t=4230s known=197.0m2 free=176.7m2 occ=20.3m2 (311x366)
coverage: t=4260s known=201.0m2 free=180.7m2 occ=20.3m2 (311x366)
coverage: t=4290s known=201.5m2 free=181.2m2 occ=20.3m2 (311x366)
coverage: t=4320s known=201.9m2 free=181.6m2 occ=20.3m2 (311x366)
coverage: t=4350s known=201.6m2 free=181.2m2 occ=20.4m2 (311x365)
coverage: t=4380s known=201.6m2 free=181.2m2 occ=20.4m2 (311x365)
coverage: t=4410s known=201.6m2 free=181.1m2 occ=20.5m2 (311x365)
coverage: t=4440s known=201.6m2 free=181.2m2 occ=20.4m2 (311x365)
coverage: t=4470s known=201.6m2 free=181.2m2 occ=20.4m2 (311x365)
coverage: t=4500s known=201.6m2 free=181.2m2 occ=20.4m2 (311x365)
coverage: t=4530s known=201.6m2 free=181.2m2 occ=20.4m2 (311x365)
coverage: t=4560s known=201.6m2 free=181.2m2 occ=20.4m2 (311x365)
coverage: t=4590s known=201.6m2 free=181.2m2 occ=20.4m2 (311x365)
coverage: t=4620s known=201.6m2 free=181.3m2 occ=20.4m2 (311x365)
coverage: t=4650s known=201.6m2 free=181.2m2 occ=20.4m2 (311x365)
coverage: t=4680s known=201.6m2 free=181.3m2 occ=20.4m2 (311x365)
