coverage: t=2430s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2460s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2490s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2520s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2550s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2580s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2610s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2640s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2670s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2700s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2730s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2760s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2790s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2820s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2850s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2880s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2910s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2940s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=2970s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3000s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3030s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3060s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3090s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3120s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3150s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3180s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3210s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3240s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3270s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3300s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3330s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3360s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3390s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3420s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3450s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3480s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3510s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3540s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3570s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3600s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3630s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3660s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3690s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3720s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3750s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3780s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3810s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3840s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3870s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3900s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3930s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3960s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=3990s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4020s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4050s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4080s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4110s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4140s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4170s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4200s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4230s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4260s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4290s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4320s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4350s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4380s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4410s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4440s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4470s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4500s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4530s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4560s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4590s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4620s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4650s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4680s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4710s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4740s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4770s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4800s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4830s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4860s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4890s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4920s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4950s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=4980s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5010s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5040s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5070s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5100s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5130s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5160s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5190s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
coverage: t=5220s known=97.5m2 free=85.9m2 occ=11.6m2 (290x297)
