coverage: t=2430s known=125.2m2 free=113.2m2 occ=12.0m2 (285x289)
coverage: t=2460s known=126.1m2 free=114.0m2 occ=12.1m2 (285x289)
coverage: t=2490s known=126.5m2 free=114.3m2 occ=12.1m2 (285x289)
coverage: t=2520s known=126.5m2 free=114.3m2 occ=12.1m2 (285x289)
coverage: t=2550s known=126.5m2 free=114.3m2 occ=12.1m2 (285x289)
coverage: t=2580s known=126.5m2 free=114.3m2 occ=12.1m2 (285x289)
coverage: t=2610s known=126.5m2 free=114.3m2 occ=12.1m2 (285x289)
coverage: t=2640s known=126.5m2 free=114.3m2 occ=12.1m2 (285x289)
coverage: t=2670s known=126.6m2 free=114.5m2 occ=12.2m2 (285x289)
coverage: t=2700s known=126.9m2 free=114.8m2 occ=12.1m2 (285x289)
coverage: t=2730s known=127.1m2 free=114.9m2 occ=12.2m2 (285x289)
coverage: t=2760s known=127.1m2 free=114.9m2 occ=12.2m2 (285x289)
coverage: t=2790s known=127.1m2 free=114.9m2 occ=12.2m2 (285x289)
coverage: t=2820s known=127.1m2 free=114.9m2 occ=12.2m2 (285x289)
coverage: t=2850s known=127.1m2 free=114.9m2 occ=12.2m2 (285x289)
coverage: t=2880s known=127.1m2 free=114.9m2 occ=12.2m2 (285x289)
coverage: t=2910s known=127.1m2 free=114.9m2 occ=12.2m2 (285x289)
coverage: t=2940s known=127.1m2 free=114.9m2 occ=12.2m2 (285x289)
coverage: t=2970s known=127.2m2 free=114.9m2 occ=12.2m2 (285x289)
coverage: t=3000s known=127.2m2 free=114.9m2 occ=12.2m2 (285x289)
coverage: t=3030s known=127.2m2 free=114.9m2 occ=12.2m2 (285x289)
coverage: t=3060s known=127.2m2 free=114.9m2 occ=12.2m2 (285x289)
coverage: t=3090s known=128.7m2 free=116.3m2 occ=12.5m2 (286x289)
coverage: t=3120s known=133.5m2 free=120.3m2 occ=13.2m2 (286x289)
coverage: t=3150s known=135.1m2 free=120.9m2 occ=14.2m2 (289x284)
coverage: t=3180s known=135.2m2 free=121.1m2 occ=14.2m2 (302x284)
coverage: t=3210s known=135.2m2 free=121.1m2 occ=14.1m2 (302x284)
coverage: t=3240s known=135.2m2 free=121.1m2 occ=14.1m2 (302x284)
coverage: t=3270s known=135.2m2 free=121.1m2 occ=14.1m2 (302x284)
coverage: t=3300s known=135.3m2 free=121.2m2 occ=14.1m2 (302x284)
coverage: t=3330s known=135.3m2 free=121.2m2 occ=14.1m2 (302x284)
coverage: t=3360s known=135.3m2 free=121.2m2 occ=14.1m2 (302x284)
coverage: t=3390s known=135.3m2 free=121.2m2 occ=14.1m2 (302x284)
coverage: t=3420s known=135.3m2 free=121.2m2 occ=14.1m2 (302x284)
coverage: t=3450s known=135.3m2 free=121.2m2 occ=14.1m2 (302x284)
coverage: t=3480s known=135.3m2 free=121.3m2 occ=14.1m2 (302x284)
coverage: t=3510s known=135.3m2 free=121.3m2 occ=14.1m2 (302x284)
coverage: t=3540s known=135.3m2 free=121.3m2 occ=14.1m2 (302x284)
coverage: t=3570s known=135.3m2 free=121.3m2 occ=14.1m2 (302x284)
coverage: t=3600s known=135.5m2 free=121.4m2 occ=14.1m2 (302x284)
coverage: t=3630s known=135.5m2 free=121.4m2 occ=14.1m2 (302x284)
coverage: t=3660s known=135.5m2 free=121.4m2 occ=14.1m2 (302x284)
coverage: t=3690s known=135.5m2 free=121.4m2 occ=14.1m2 (302x284)
coverage: t=3720s known=135.5m2 free=121.4m2 occ=14.1m2 (302x284)
coverage: t=3750s known=135.5m2 free=121.4m2 occ=14.1m2 (302x284)
coverage: t=3780s known=135.5m2 free=121.5m2 occ=14.0m2 (302x284)
coverage: t=3810s known=135.5m2 free=121.5m2 occ=14.0m2 (302x284)
coverage: t=3840s known=135.5m2 free=121.5m2 occ=14.0m2 (302x284)
coverage: t=3870s known=135.5m2 free=121.5m2 occ=14.0m2 (302x284)
coverage: t=3900s known=135.6m2 free=121.6m2 occ=14.1m2 (302x284)
coverage: t=3930s known=135.8m2 free=121.7m2 occ=14.1m2 (302x284)
coverage: t=3960s known=135.8m2 free=121.7m2 occ=14.1m2 (302x284)
coverage: t=3990s known=135.8m2 free=121.7m2 occ=14.1m2 (302x284)
