coverage: no map yet
coverage: t=2460s known=392.5m2 free=375.4m2 occ=17.1m2 (402x401)
coverage: t=2490s known=392.5m2 free=375.4m2 occ=17.1m2 (402x401)
coverage: t=2520s known=392.5m2 free=375.4m2 occ=17.2m2 (402x401)
coverage: t=2550s known=392.6m2 free=375.4m2 occ=17.2m2 (402x401)
coverage: t=2580s known=392.6m2 free=375.4m2 occ=17.3m2 (402x401)
coverage: t=2610s known=392.7m2 free=375.4m2 occ=17.3m2 (402x401)
coverage: t=2640s known=392.8m2 free=375.4m2 occ=17.4m2 (402x401)
coverage: t=2670s known=392.9m2 free=375.4m2 occ=17.5m2 (402x401)
coverage: t=2700s known=392.9m2 free=375.4m2 occ=17.5m2 (402x401)
coverage: t=2730s known=392.9m2 free=375.4m2 occ=17.5m2 (402x401)
coverage: t=2760s known=392.9m2 free=375.4m2 occ=17.5m2 (402x401)
coverage: t=2790s known=392.9m2 free=375.4m2 occ=17.6m2 (402x401)
coverage: t=2820s known=392.9m2 free=375.4m2 occ=17.5m2 (402x401)
coverage: t=2850s known=392.9m2 free=375.4m2 occ=17.5m2 (402x401)
coverage: t=2880s known=393.0m2 free=375.4m2 occ=17.6m2 (402x401)
coverage: t=2910s known=393.0m2 free=375.4m2 occ=17.6m2 (402x401)
coverage: t=2940s known=393.0m2 free=375.4m2 occ=17.6m2 (402x401)
coverage: t=2970s known=393.0m2 free=375.4m2 occ=17.6m2 (402x401)
coverage: t=3000s known=393.0m2 free=375.4m2 occ=17.6m2 (402x401)
coverage: t=3030s known=393.0m2 free=375.4m2 occ=17.6m2 (402x401)
coverage: t=3060s known=393.0m2 free=375.5m2 occ=17.6m2 (402x401)
coverage: t=3090s known=393.1m2 free=375.5m2 occ=17.6m2 (402x401)
coverage: t=3120s known=393.1m2 free=375.5m2 occ=17.6m2 (402x401)
coverage: t=3150s known=393.1m2 free=375.5m2 occ=17.6m2 (402x401)
coverage: t=3180s known=393.1m2 free=375.5m2 occ=17.6m2 (402x401)
coverage: t=3210s known=393.1m2 free=375.5m2 occ=17.6m2 (402x401)
coverage: t=3240s known=393.1m2 free=375.5m2 occ=17.6m2 (402x401)
coverage: t=3270s known=393.2m2 free=375.5m2 occ=17.7m2 (402x401)
coverage: t=3300s known=393.2m2 free=375.5m2 occ=17.7m2 (402x401)
coverage: t=3330s known=393.2m2 free=375.5m2 occ=17.7m2 (402x401)
coverage: t=3360s known=393.2m2 free=375.5m2 occ=17.7m2 (402x401)
coverage: t=3390s known=393.3m2 free=375.5m2 occ=17.7m2 (402x401)
coverage: t=3420s known=393.3m2 free=375.5m2 occ=17.7m2 (402x401)
coverage: t=3450s known=393.3m2 free=375.5m2 occ=17.8m2 (402x401)
coverage: t=3480s known=393.1m2 free=373.8m2 occ=19.3m2 (402x401)
coverage: t=3510s known=393.1m2 free=373.7m2 occ=19.4m2 (402x401)
coverage: t=3540s known=393.1m2 free=374.0m2 occ=19.1m2 (402x401)
coverage: t=3570s known=393.1m2 free=374.0m2 occ=19.1m2 (402x401)
coverage: t=3600s known=393.2m2 free=374.0m2 occ=19.1m2 (402x401)
coverage: t=3630s known=393.2m2 free=374.0m2 occ=19.2m2 (402x401)
coverage: t=3660s known=393.2m2 free=374.0m2 occ=19.2m2 (402x401)
coverage: t=3690s known=393.2m2 free=374.0m2 occ=19.3m2 (402x401)
coverage: t=3720s known=393.3m2 free=374.0m2 occ=19.3m2 (402x401)
coverage: t=3750s known=393.3m2 free=373.9m2 occ=19.4m2 (402x401)
coverage: t=3780s known=393.3m2 free=374.1m2 occ=19.2m2 (402x401)
coverage: t=3810s known=393.3m2 free=374.2m2 occ=19.1m2 (402x401)
coverage: t=3840s known=393.3m2 free=374.2m2 occ=19.1m2 (402x401)
coverage: t=3870s known=393.3m2 free=374.3m2 occ=19.1m2 (402x401)
coverage: t=3900s known=393.3m2 free=374.3m2 occ=19.1m2 (402x401)
coverage: t=3930s known=393.3m2 free=374.3m2 occ=19.1m2 (402x401)
coverage: t=3960s known=393.3m2 free=374.3m2 occ=19.1m2 (402x401)
coverage: t=3990s known=393.3m2 free=374.2m2 occ=19.1m2 (402x401)
