frame,t,x,y,yaw,speed,stalled,footprint_max_cost,footprint_blocked
99,1787210351.55,0.318,1.444,-1.281,0.008,1,254,1
100,1787210352.55,0.310,1.444,-1.349,0.009,1,254,1
101,1787210353.55,0.299,1.444,-1.432,0.014,1,253,1
102,1787210354.55,0.279,1.402,-1.666,0.148,0,253,1
103,1787210355.55,0.225,1.189,-1.831,0.200,0,253,1
104,1787210356.55,0.188,1.071,-1.462,0.036,0,253,1
105,1787210357.55,0.186,1.070,-1.358,0.012,1,253,1
106,1787210358.55,0.197,1.069,-1.268,0.010,1,253,1
107,1787210359.55,0.207,1.067,-1.179,0.031,0,253,1
108,1787210360.55,0.277,0.931,-0.995,0.260,0,253,1
109,1787210361.55,0.437,0.735,-0.713,0.229,0,182,0
110,1787210362.55,0.617,0.612,-0.210,0.258,0,0,0
111,1787210363.55,0.869,0.569,0.189,0.222,0,0,0
112,1787210364.55,0.968,0.588,0.191,0.000,1,0,0
113,1787210365.55,0.968,0.588,0.191,0.000,1,0,0
114,1787210366.55,0.968,0.596,0.349,0.024,0,0,0
115,1787210367.55,0.969,0.615,0.719,0.001,1,0,0
116,1787210368.55,0.968,0.614,0.823,0.001,1,0,0
117,1787210369.55,0.969,0.615,0.755,0.001,1,0,0
118,1787210370.55,0.969,0.615,0.689,0.001,1,0,0
119,1787210371.55,0.969,0.613,0.621,0.002,1,0,0
120,1787210372.55,0.968,0.610,0.550,0.004,1,0,0
121,1787210373.55,0.968,0.605,0.474,0.006,1,0,0
122,1787210374.55,0.968,0.598,0.395,0.008,1,0,0
123,1787210375.55,0.968,0.588,0.311,0.010,1,0,0
124,1787210376.55,0.968,0.577,0.221,0.012,1,0,0
125,1787210377.55,0.970,0.565,0.120,0.035,0,0,0
126,1787210378.55,1.128,0.531,-0.131,0.260,0,0,0
127,1787210379.55,1.387,0.518,0.112,0.259,0,0,0
128,1787210380.55,1.641,0.533,-0.186,0.256,0,0,0
129,1787210381.56,1.797,0.505,-0.300,0.040,0,0,0
130,1787210382.55,1.800,0.495,-0.384,0.008,1,0,0
131,1787210383.55,1.800,0.487,-0.464,0.006,1,0,0
132,1787210384.55,1.800,0.482,-0.540,0.005,1,0,0
133,1787210385.55,1.800,0.478,-0.612,0.003,1,0,0
134,1787210386.55,1.800,0.477,-0.681,0.001,1,0,0
135,1787210387.55,1.800,0.476,-0.746,0.001,1,0,0
136,1787210388.55,1.801,0.476,-0.814,0.001,1,0,0
137,1787210389.55,1.801,0.476,-0.839,0.012,1,0,0
138,1787210390.55,1.754,0.528,-0.839,0.080,0,0,0
139,1787210391.55,1.700,0.588,-0.839,0.080,0,0,0
140,1787210392.55,1.648,0.646,-0.839,0.060,0,0,0
141,1787210393.55,1.628,0.669,-0.862,0.000,1,0,0
142,1787210394.55,1.627,0.669,-0.912,0.001,1,0,0
143,1787210395.55,1.625,0.669,-0.963,0.002,1,0,0
144,1787210396.55,1.623,0.669,-1.017,0.003,1,0,0
145,1787210397.55,1.619,0.669,-1.073,0.004,1,0,0
146,1787210398.55,1.614,0.669,-1.132,0.005,1,0,0
147,1787210399.55,1.609,0.670,-1.194,0.006,1,0,0
148,1787210400.55,1.599,0.670,-1.279,0.010,1,0,0
149,1787210401.55,1.588,0.670,-1.370,0.012,1,0,0
150,1787210402.55,1.574,0.670,-1.467,0.014,1,0,0
151,1787210403.55,1.559,0.670,-1.570,0.016,1,0,0
152,1787210404.55,1.544,0.670,-1.674,0.014,1,0,0
153,1787210405.55,1.531,0.670,-1.771,0.012,1,0,0
154,1787210406.55,1.519,0.670,-1.861,0.010,1,0,0
155,1787210407.55,1.510,0.670,-1.947,0.009,1,0,0
156,1787210408.55,1.503,0.669,-2.014,0.005,1,0,0
157,1787210409.55,1.499,0.669,-2.072,0.004,1,0,0
158,1787210410.55,1.495,0.669,-2.128,0.003,1,0,0
159,1787210411.55,1.492,0.669,-2.182,0.002,1,0,0
160,1787210412.55,1.491,0.669,-2.234,0.001,1,0,0
161,1787210413.55,1.490,0.669,-2.280,0.000,1,0,0
162,1787210414.55,1.490,0.669,-2.329,0.001,1,0,0
163,1787210415.55,1.490,0.668,-2.380,0.000,1,0,0
