coverage: no map yet
coverage: t=2460s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2490s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2520s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2550s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2580s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2610s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2640s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2670s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2700s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2730s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2760s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2790s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2820s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2850s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2880s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2910s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2940s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=2970s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3000s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3030s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3060s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3090s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3120s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3150s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3180s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3210s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3240s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3270s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3300s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3330s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3360s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3390s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3420s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3450s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3480s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3510s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3540s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3570s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
coverage: t=3600s known=390.1m2 free=375.7m2 occ=14.4m2 (400x402)
