frame,t,x,y,yaw,speed,stalled,footprint_max_cost,footprint_blocked
0,1787213157.05,0.000,0.000,0.008,0.000,1,0,0
1,1787213158.05,0.000,0.000,0.009,0.000,1,0,0
2,1787213159.05,0.000,0.000,0.009,0.000,1,0,0
3,1787213160.05,0.000,0.000,0.009,0.000,1,0,0
4,1787213161.05,0.000,0.000,0.009,0.000,1,0,0
5,1787213162.05,0.000,0.000,0.009,0.000,1,0,0
6,1787213163.05,0.094,0.001,0.010,0.120,0,0,0
7,1787213164.05,0.219,0.002,0.010,0.120,0,0,0
8,1787213165.05,0.342,0.003,0.010,0.120,0,0,0
9,1787213166.05,0.469,0.005,0.011,0.120,0,0,0
10,1787213167.05,0.597,0.006,0.010,0.120,0,0,0
11,1787213168.05,0.723,0.008,0.011,0.120,0,0,0
12,1787213169.05,0.851,0.009,0.011,0.120,0,0,0
13,1787213170.05,0.973,0.010,0.011,0.120,0,0,0
14,1787213171.05,1.098,0.012,0.011,0.120,0,0,0
15,1787213172.05,1.216,0.013,0.011,0.120,0,0,0
16,1787213173.05,1.276,0.014,0.012,0.000,1,0,0
17,1787213174.05,1.276,0.014,0.012,0.000,1,0,0
18,1787213175.05,1.276,0.014,0.011,0.000,1,0,0
19,1787213176.05,1.276,0.014,0.012,0.000,1,0,0
20,1787213177.05,1.276,0.014,0.012,0.000,1,0,0
21,1787213178.05,1.276,0.014,0.012,0.000,1,0,0
22,1787213179.05,1.276,0.014,0.012,0.000,1,0,0
23,1787213180.05,1.276,0.014,0.013,0.000,1,0,0
24,1787213181.05,1.277,0.014,0.036,0.010,1,0,0
25,1787213182.05,1.290,0.015,0.139,0.014,1,0,0
26,1787213183.05,1.302,0.017,0.234,0.012,1,0,0
27,1787213184.05,1.312,0.020,0.324,0.010,1,0,0
28,1787213185.05,1.279,0.008,0.351,0.080,0,0,0
29,1787213186.05,1.201,-0.021,0.352,0.080,0,0,0
30,1787213187.05,1.127,-0.048,0.353,0.080,0,0,0
31,1787213188.05,1.056,-0.074,0.360,0.021,0,0,0
32,1787213189.05,1.061,-0.072,0.443,0.007,1,0,0
33,1787213190.05,1.066,-0.070,0.521,0.005,1,0,0
34,1787213191.05,1.068,-0.068,0.549,0.000,1,0,0
35,1787213192.05,1.068,-0.068,0.550,0.000,1,0,0
36,1787213193.05,1.068,-0.068,0.567,0.005,1,0,0
37,1787213194.05,1.071,-0.067,0.862,0.002,1,0,0
38,1787213195.05,1.064,-0.079,1.195,0.020,0,0,0
39,1787213196.05,1.062,-0.084,1.233,0.000,1,0,0
40,1787213197.05,1.046,-0.130,1.233,0.080,0,0,0
41,1787213198.05,1.021,-0.202,1.233,0.080,0,0,0
42,1787213199.05,0.995,-0.274,1.233,0.080,0,0,0
43,1787213200.05,0.972,-0.342,1.239,0.010,1,0,0
44,1787213201.05,0.969,-0.352,1.327,0.011,1,0,0
45,1787213202.05,0.966,-0.364,1.419,0.013,1,0,0
46,1787213203.05,0.965,-0.379,1.518,0.015,1,0,0
47,1787213204.05,0.964,-0.375,1.658,0.092,0,0,0
48,1787213205.05,0.924,-0.182,1.853,0.261,0,0,0
49,1787213206.05,0.843,0.072,1.936,0.261,0,0,0
50,1787213207.05,0.730,0.322,2.062,0.263,0,0,0
51,1787213208.05,0.607,0.562,2.041,0.262,0,236,0
52,1787213209.05,0.469,0.790,2.126,0.258,0,236,0
53,1787213210.05,0.354,1.039,1.868,0.267,0,235,0
54,1787213211.05,0.343,1.277,1.349,0.254,0,165,0
55,1787213212.05,0.397,1.455,1.251,0.060,0,165,0
56,1787213213.05,0.400,1.464,1.251,0.000,1,165,0
57,1787213214.05,0.400,1.464,1.251,0.000,1,165,0
58,1787213215.05,0.400,1.464,1.251,0.000,1,165,0
59,1787213216.05,0.399,1.463,1.270,0.010,1,165,0
60,1787213217.05,0.396,1.451,1.359,0.012,1,150,0
61,1787213218.05,0.394,1.439,1.453,0.014,1,164,0
62,1787213219.05,0.393,1.424,1.555,0.016,1,149,0
63,1787213220.05,0.393,1.429,1.661,0.015,1,164,0
64,1787213221.05,0.391,1.443,1.760,0.013,1,164,0
65,1787213222.05,0.388,1.456,1.852,0.011,1,160,0
66,1787213223.05,0.384,1.466,1.939,0.009,1,176,0
67,1787213224.05,0.381,1.474,2.021,0.007,1,155,0
68,1787213225.05,0.378,1.480,2.098,0.005,1,150,0
69,1787213226.05,0.376,1.483,2.171,0.003,1,151,0
70,1787213227.05,0.375,1.485,2.241,0.002,1,0,0
71,1787213228.05,0.374,1.485,2.307,0.000,1,0,0
72,1787213229.05,0.374,1.485,2.374,0.000,1,0,0
73,1787213230.05,0.374,1.485,2.441,0.000,1,0,0
74,1787213231.05,0.375,1.484,2.507,0.002,1,0,0
75,1787213232.05,0.377,1.483,2.576,0.004,1,0,0
76,1787213233.05,0.381,1.481,2.650,0.005,1,0,0
77,1787213234.05,0.387,1.478,2.727,0.007,1,0,0
78,1787213235.05,0.394,1.475,2.809,0.009,1,0,0
79,1787213236.05,0.404,1.472,2.896,0.011,1,0,0
80,1787213237.05,0.415,1.470,2.988,0.013,1,0,0
81,1787213238.05,0.426,1.469,3.086,0.015,1,0,0
82,1787213239.05,0.432,1.469,-3.092,0.016,1,0,0
83,1787213240.05,0.416,1.467,-2.990,0.014,1,0,0
84,1787213241.05,0.404,1.465,-2.895,0.012,1,149,0
85,1787213242.05,0.394,1.462,-2.806,0.010,1,149,0
